code,term
395362000,Nelaton Tiemann tip urethral catheter with drainage bag
395441002,Nelaton antimicrobial-coated urethral catheter
395442009,Nelaton antimicrobial-coated male length urethral catheter
395443004,Nelaton antimicrobial-coated female length urethral catheter
395444005,Nelaton antimicrobial-coated pediatric length urethral catheter
39834009,Insertion of nephrostomy tube
400531000000108,[V] Admission for urinary catheterisation
410021007,Insertion of urethral catheter
410024004,Catheterization of urinary bladder
410251006,Urinary catheter care assessment
410252004,Urinary catheter care education
410253009,Urinary catheter care management
410254003,Urinary catheter insertion assessment
410255002,Urinary catheter insertion education
410256001,Urinary catheter insertion management
410257005,Urinary catheter irrigation assessment
410258000,Urinary catheter irrigation education
410259008,Urinary catheter irrigation management
419992002,Fluoroscopic nephrostography
420404007,Urinary catheterization status
420488007,Obstruction of urethral urinary catheter
420648005,Leakage from urinary catheter
422352008,Obstruction of urinary catheter
427793007,Complication of urinary catheter
429037005,Short rigid urethral catheter
429516009,Procedure involving suprapubic catheter
429723008,Procedure involving urinary catheter
430538008,Tamponade of anterior nasal bleeding using urinary catheter
431230009,Administration of substance into urinary bladder via intravesical route using urinary bladder catheter
431341009,Removal of nephrostomy tube using fluoroscopic guidance
431410007,Nephrostomy using fluoroscopic guidance with contrast
432075000,Replacement of nephrostomy tube using fluoroscopic guidance
432587002,Insertion of suprapubic catheter using ultrasound guidance
433029000,Nephrostomy using computed tomography guidance
43748006,Removal of urinary bladder catheter
439053001,Urinary catheter in situ
439058005,Home visit for care and maintenance of urinary catheter
439854006,Change of urinary catheter bag
440311000,Suprapubic urinary catheter in situ
440415005,Aspiration of urinary bladder using suprapubic catheter
440649005,Cystourethroscopy with percutaneous insertion of nephrostomy tube
444095005,Indwelling urinary catheter bulb in urethra
444324009,Indwelling urinary catheter fell out
444777002,Intermittent clamping of suprapubic urinary catheter
445191009,Care of suprapubic urinary catheter
445830006,Retrograde catheterization of ureter
446583004,Insertion of indwelling catheter into urinary bladder
446775007,Collection of urine via indwelling urinary catheter
446846006,Urine specimen obtained via indwelling urinary catheter
447379005,Replacement of indwelling catheter of urinary bladder
450460004,Nephrostomy using ultrasound guidance
450775006,Emptying of ureterostomy bag
4521000087108,Fluoroscopic left nephrostography
4531000087105,Fluoroscopic right nephrostography
457971000000108,"[X]Urinary catheterisation as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
464311004,Ureteropelvic balloon catheter
464599000,Prostate electrolytic therapy system catheter
464660000,Urodynamic catheter
464686005,Ureteral dilatation catheter
464726004,Urine-sampling urethral catheter
464900000,Urethral dilatation catheter
465065003,Ureteral dilatation/injection catheter
465413007,Single-administration urethral drainage/irrigation catheter
466565001,Temperature-monitoring indwelling urethral drainage catheter
467348002,"Cystographic/urethrographic catheter, male"
467912009,"Cystographic/urethrographic catheter, female"
469561009,"Intermittent urethral drainage catheter, antimicrobial"
469715007,"Intermittent urethral drainage catheter, sterile"
470027009,"Intermittent urethral drainage catheter, non-sterile"
470529000,General-purpose ureteral catheter
470534001,"Indwelling urethral drainage catheter, antimicrobial"
470611003,Indwelling urethral drainage/irrigation catheter
470730007,Indwelling urethral drainage catheter
473051003,Infection associated with indwelling urinary catheter
473091000,Inflammation associated with indwelling urinary catheter
473092007,Infection and inflammation associated with indwelling urinary catheter
473135008,Migration of suprapubic catheter
473153002,Retained ureteric catheter
473154008,Retained fragment of ureteric catheter
473183006,Obstruction of suprapubic catheter
473416002,Nephrostomy tube submitted as specimen
47528002,"Ureteral catheter, device"
514141000000106,Clamping of suprapubic urinary catheter with intermittent release and re-clamping
51661001,Removal of ureterostomy tube and ureteral catheter
51666006,Irrigation of ureterostomy and ureteral catheter
5171000087100,Fluoroscopic bilateral nephrostography
521771000000108,Suprapubic urinary catheter care education
52426000,Cystostomy with insertion of ureteral catheter
528651000000100,"Urinary catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of procedure"
53248001,Catheterization of ureter
53587000,Irrigation of indwelling urinary catheter
55449009,Removal of urethral catheter
6543003,Complicated catheterization of urinary bladder
65848005,Removal of ureteral catheter
698087006,Collection of urine via indwelling suprapubic catheter
698515001,Suprapubic urinary catheter care education
699287008,Urine specimen obtained via suprapubic indwelling urinary catheter
700372006,Urinary tract infection associated with catheter
700888001,Single-administration urethral drainage catheter
701000087108,Bilateral nephrostomy using fluoroscopic guidance with contrast
701569005,Urinary catheter/drainage bag connection facilitator
702076008,Ureteropelvic filter catheter
703420004,Insertion of urethral catheter using guide wire
704485003,Ability to manage urinary catheter
704486002,Difficulty managing urinary catheter
704878009,Needleless transurethral injection system catheter
705156009,Collection of urine via straight catheter
705527001,Urethral drainage catheter
70777001,"Urine specimen collection, catheterized"
